titre,réalisateur,producteur,postal,debut,fin,latitude,longitude,rive
PRODUCTION 46,,IEFS PARIS,75004,2019-06-17,2019-06-17,48.85584593860675,2.350891429885982,droite
FORTE,Katia LEWKOWICZ,QUAD FILMS,75001,2018-11-28,2018-11-28,48.86025066186863,2.342482133383645,droite
En attendant qui ? Mai,Marc RECUENCO,SerialBstudio,75017,2019-06-22,2019-06-23,48.88399638299972,2.305082431384566,droite
LE GENDRE IDEAL,Hector CABELL REYES,KABO FILMS,75010,2018-05-21,2018-05-21,48.87088084727964,2.353126786875397,droite
EIFFEL,MARTIN BOURBOULON,VVZ,75007,2019-09-04,2019-09-04,48.8597781287686,2.296242656147211,gauche
En attendant qui ? Mai,Marc RECUENCO,SerialBstudio,75017,2019-06-15,2019-06-15,48.8838388567095,2.326502365885353,droite
Seize Printemps,Suzanne Lindon,Avenue B Productions,75018,2019-09-18,2019-09-20,48.88356186886989,2.342120260645018,droite
LA VIE DE CHATEAU,CEDRIC IDO,SRAB FILMS,75010,2016-08-17,2016-08-17,48.870948999900605,2.355724999549102,droite
"LES CHOSES QU'ON DIT, LES CHOSES QU'ON FAIT",EMMANUEL MOURET,MOBY DICK FILMS,75009,2019-10-30,2019-10-30,48.87877582627144,2.338415076522795,droite
CHANSON DOUCE,LUCIE BORLETEAU,WHY NOT PRODUCTIONS,75011,2018-06-28,2018-06-28,48.86528292577059,2.36723525056895,droite
SMILEY,TRISTAN AUROUET THOMAS BIDEGAIN MARC FITOUSSI CYRIL GELBLAT VIANNEY LEBASQUE,MANDOLINE FILMS,75019,2018-06-29,2018-06-30,48.88247697824276,2.382611181970936,droite
TANGUY 2,Etienne Chatiliez,NAC FILMS,75018,2018-07-23,2018-07-23,48.887353874594616,2.342902308666756,droite
Van Gogh in love,Jean Luc Ayach,MICA Films,75011,2018-10-04,2018-10-04,48.85359560044496,2.380838970345602,droite
PLACE DES VICTOIRES,Yoann Guillouzouic,WHITE PANAMA FILMS,75018,2018-12-04,2018-12-04,48.89097248513236,2.345676827895617,droite
Fahim,Pierre-François MARTIN-LAVAL,WAITING FOR CINEMA,75016,2018-09-28,2018-09-28,48.85690690275641,2.286218490919446,droite
NAMASTE ENGLAND,Vipul Shah,ifilmfrance,75010,2018-05-15,2018-05-15,48.87966050598249,2.354372925448811,droite
FORTE,Katia LEWKOWICZ,QUAD FILMS,75020,2018-12-20,2018-12-20,48.87827695478986,2.410328359523579,droite
ALLAN KARDEC,WAGNER DE ASSIS,NICOCORP,75004,2018-05-16,2018-05-17,48.85164079331911,2.354135207658588,droite
Miss,Ruben Alves,ZAZI FILMS,75009,2019-02-20,2019-02-20,48.88317736701846,2.333920531666369,droite
ALLAN KARDEC,WAGNER DE ASSIS,NICOCORP,75001,2018-05-17,2018-05-18,48.865935679198,2.33848742692067,droite
